Minutes, Seconds, Cell Alive, Maximum Cell Count, Cells Died, Cells Died by Swelling, Cells Died by Lack of ATP, Cells Died in the last 30 Seconds, Cells Died in the last 30 Seconds (Swelling), Cells Died in the last 30 Seconds (ATP), Cells Created, Cells Created in the last 30 Seconds, Average Cell Lifetime (in seconds), Cell Lifetime Standard Deviation, Average Cell Size, Cell Size Standard Deviation, Average Cell Lenght, Cell Length Standard Deviation, Flagellum Absolute, Flagellum Percent, Membrane Absolute, Membrane Percent, Energy Manager Absolute, Energy Manager percent, Splitting Manager Absolute, Splitting Manager Percent
22,58,337,409,2613,1427,1186,43,23,20,2900,49,76.192757,43.394840,8.090895,0.795683,4.592461,1.588853,2,0.005935,0,0.000000,23,0.068249,331,0.982196
23,28,364,409,2663,1443,1220,50,16,34,2977,77,78.889389,47.702179,8.169790,0.794545,4.501474,1.537747,1,0.002747,0,0.000000,23,0.063187,359,0.986264
23,58,390,409,2699,1454,1245,36,11,25,3039,62,87.498505,51.226597,8.183381,0.786685,4.543097,1.529655,1,0.002564,0,0.000000,22,0.056410,385,0.987179
24,28,398,411,2760,1502,1258,61,48,13,3108,69,92.575783,57.357231,8.116625,0.816835,4.695284,1.484511,2,0.005025,0,0.000000,25,0.062814,396,0.994975
24,58,343,411,2867,1590,1277,107,88,19,3160,52,90.872414,57.792259,8.064721,0.872869,4.864926,1.590538,2,0.005831,0,0.000000,25,0.072886,340,0.991254
25,28,260,411,3013,1692,1321,146,102,44,3223,63,68.880127,45.012985,7.998225,0.893240,4.902313,1.558433,4,0.015385,0,0.000000,15,0.057692,254,0.976923
25,58,259,411,3078,1731,1347,65,39,26,3287,64,65.318230,38.513908,8.007370,0.838950,4.883657,1.495889,5,0.019305,0,0.000000,8,0.030888,255,0.984556
26,28,268,411,3126,1755,1371,48,24,24,3344,57,71.088127,42.011669,8.026539,0.824476,4.976084,1.475933,5,0.018657,0,0.000000,11,0.041045,266,0.992537
26,58,234,411,3212,1765,1447,86,10,76,3396,52,67.987762,40.571186,8.087600,0.790228,4.923053,1.474623,4,0.017094,0,0.000000,6,0.025641,232,0.991453
27,28,182,411,3320,1765,1555,108,0,108,3452,56,54.950447,34.897633,8.199010,0.724475,4.738279,1.432166,3,0.016484,0,0.000000,4,0.021978,182,1.000000
27,58,137,411,3414,1765,1649,94,0,94,3501,49,42.588852,24.395744,8.190355,0.768354,4.385775,1.364589,2,0.014599,0,0.000000,3,0.021898,136,0.992701
28,28,121,411,3508,1765,1743,94,0,94,3579,78,25.760851,19.331877,8.310323,0.778251,4.048928,1.332663,3,0.024793,0,0.000000,6,0.049587,119,0.983471
28,58,99,411,3585,1765,1820,77,0,77,3634,55,25.092443,13.515306,8.578725,0.608786,3.618364,1.331861,4,0.040404,0,0.000000,0,0.000000,99,1.000000
29,28,86,411,3660,1765,1895,75,0,75,3696,62,22.197008,13.261837,8.654428,0.656418,3.336528,1.436426,2,0.023256,0,0.000000,3,0.034884,82,0.953488
